iter	Logloss
0	0.6569187588
1	0.6366752449
2	0.6136921537
3	0.5986031963
4	0.585366046
5	0.5734005338
6	0.5599778088
7	0.5508549984
8	0.5424257371
9	0.5348436328
10	0.5262064137
11	0.5194557426
12	0.5126889018
13	0.508083028
14	0.5037235497
15	0.4995380004
16	0.4927927531
17	0.4880046445
18	0.4854103918
19	0.4833854923
20	0.4811737747
21	0.4791957538
22	0.4766773949
23	0.4752273078
24	0.4736223879
25	0.4718480394
26	0.4701907991
27	0.4687015861
28	0.4674956872
29	0.4663759485
30	0.4653501824
31	0.4645147806
32	0.4634107307
33	0.4621093629
34	0.4607200972
35	0.4601009678
36	0.4594042488
37	0.4583153604
38	0.4576162697
39	0.4568775954
40	0.4563027205
41	0.4558346053
42	0.4551440146
43	0.4533331641
44	0.4528280358
45	0.4524005575
46	0.4517400533
47	0.4511971617
48	0.4508397856
49	0.4503549058
50	0.4498490327
51	0.4493879588
52	0.4489485398
53	0.4484648017
54	0.4479362178
55	0.4476460507
56	0.447316767
57	0.4468844655
58	0.4466676802
59	0.4460624133
60	0.4457650284
61	0.4449003802
62	0.4446725278
63	0.4443804725
64	0.4441599113
65	0.4437376976
66	0.4435487806
67	0.4433067559
68	0.443110385
69	0.4428299334
70	0.4426412737
71	0.4424827621
72	0.4422538535
73	0.442043605
74	0.4417347258
75	0.4415255004
76	0.4413796932
77	0.4409215062
78	0.4403828675
79	0.4402352011
80	0.4400556502
81	0.4395096137
82	0.4393652031
83	0.4392038455
84	0.4390790589
85	0.438864528
86	0.4387045094
87	0.4385406283
88	0.4383544774
89	0.4382049841
90	0.4380434891
91	0.4379150483
92	0.4377825695
93	0.4375932419
94	0.437435019
95	0.4372947329
96	0.4369892304
97	0.4368595258
98	0.4367296106
99	0.4365413145
100	0.4361247135
101	0.4359877301
102	0.43576235
103	0.4356559889
104	0.4355501727
105	0.4354086672
106	0.4352357028
107	0.4351177942
108	0.4349983727
109	0.4349315962
110	0.4347911395
111	0.4346912615
112	0.434542001
113	0.4344573442
114	0.4343478626
115	0.4342419094
116	0.4340800322
117	0.4339922408
118	0.4338286757
119	0.4337376032
120	0.4336186227
121	0.4335063253
122	0.433237601
123	0.4331188843
124	0.4329841966
125	0.4329027082
126	0.4328612323
127	0.4327730059
128	0.4326881797
129	0.4326079946
130	0.4325081588
131	0.432268156
132	0.4322060795
133	0.4321031697
134	0.4319791049
135	0.4318952777
136	0.4317537085
137	0.4316426145
138	0.4315460446
139	0.4314052805
140	0.4313439663
141	0.4312621358
142	0.4311578583
143	0.4310830886
144	0.4309627737
145	0.4308498503
146	0.4307541451
147	0.4306690085
148	0.4305626442
149	0.4304067563
150	0.4302588337
151	0.4301630453
152	0.4300487494
153	0.4299598573
154	0.4298592229
155	0.4297215552
156	0.4296046314
157	0.4295213763
158	0.4293994545
159	0.4293069549
160	0.42925186
161	0.4291581872
162	0.4290891831
163	0.4290293504
164	0.4289425003
165	0.4288773946
166	0.4287367166
167	0.4286088131
168	0.4284869429
169	0.428353838
170	0.4282556181
171	0.4281719935
172	0.4280233614
173	0.4279444203
174	0.4277554601
175	0.4276711753
176	0.4276038578
177	0.4275493014
178	0.4274720226
179	0.4273664278
180	0.4272650154
181	0.4271801362
182	0.4270217415
183	0.426921451
184	0.426824851
185	0.4266629898
186	0.4265363212
187	0.4264348465
188	0.4263392385
189	0.4262270747
190	0.4261254886
191	0.4260022462
192	0.4258465652
193	0.425717932
194	0.4256578806
195	0.4255569325
196	0.4254348354
197	0.4253257096
198	0.4252386103
199	0.4251242285
200	0.4248927474
201	0.4247934487
202	0.42473899
203	0.4246426462
204	0.4245636797
205	0.4244367805
206	0.4243119292
207	0.4242386206
208	0.4241024167
209	0.4239661951
210	0.4238545971
211	0.4238198306
212	0.4236752325
213	0.4235678791
214	0.4234141001
215	0.4232132531
216	0.4230608594
217	0.4229565854
218	0.4227776649
219	0.4226332945
220	0.4225366851
221	0.4224296598
222	0.4223180425
223	0.4221685855
224	0.4220177554
225	0.4219134201
226	0.4216497196
227	0.4214751088
228	0.4213080007
229	0.4211780123
230	0.4211200756
231	0.4210054465
232	0.4208879259
233	0.4207337696
234	0.4205580048
235	0.4204103489
236	0.4202599683
237	0.4202205422
238	0.4200793839
239	0.4199638228
240	0.4197373124
241	0.4195566803
242	0.4193911609
243	0.419275664
244	0.419137676
245	0.4190042855
246	0.4188101512
247	0.4186165025
248	0.4184335048
249	0.4183877419
250	0.4182825806
251	0.4181024861
252	0.4180021909
253	0.4179674623
254	0.4177579695
255	0.4176509436
256	0.4174592276
257	0.4174170567
258	0.417244545
259	0.4170892182
260	0.4169166187
261	0.4168832086
262	0.4166773042
