iter	Passed	Remaining
282	31288	134551
283	31391	134408
284	31501	134296
285	31614	134194
286	31727	134097
287	31832	133961
288	31953	133896
289	32059	133764
290	32165	133634
291	32291	133589
292	32408	133505
293	32520	133399
294	32629	133282
295	32738	133164
296	32842	133028
297	32954	132922
298	33071	132838
299	33180	132723
300	33323	132741
301	33461	132738
302	33629	132854
303	33802	132984
304	33942	132989
305	34055	132881
306	34187	132853
307	34360	132978
308	34478	132893
309	34592	132792
310	34741	132822
311	34898	132884
312	35103	133124
313	35382	133641
314	35500	133550
315	35628	133493
316	35734	133355
317	35848	133246
318	35964	133146
319	36081	133050
320	36189	132921
321	36326	132895
322	36438	132782
323	36586	132793
324	36712	132728
325	36849	132702
326	36990	132692
327	37122	132644
328	37259	132617
329	37401	132603
330	37506	132461
331	37615	132332
332	37734	132242
333	37841	132106
334	37959	132009
335	38065	131868
336	38168	131720
337	38304	131684
338	38410	131548
339	38518	131414
340	38664	131412
341	38795	131359
342	38919	131282
343	39070	131294
344	39193	131214
345	39308	131104
346	39413	130962
347	39516	130814
348	39619	130664
349	39731	130546
350	39837	130407
351	39940	130261
352	40061	130170
353	40207	130162
354	40460	130497
355	40607	130490
356	40828	130719
357	40973	130701
358	41098	130621
359	41204	130481
360	41333	130411
361	41446	130292
362	41549	130141
363	41651	129987
364	41751	129830
365	41854	129680
366	41959	129536
367	42056	129368
368	42159	129219
369	42275	129110
370	42381	128973
371	42478	128805
372	42586	128671
373	42676	128487
374	42787	128363
375	42888	128208
376	42987	128051
377	43079	127871
378	43179	127716
379	43299	127618
380	43400	127468
381	43500	127311
382	43609	127184
383	43712	127039
384	43820	126909
385	43925	126770
386	44034	126642
387	44132	126481
388	44238	126348
389	44349	126224
390	44448	126071
391	44547	125914
392	44647	125762
393	44745	125605
394	44853	125476
395	44949	125313
396	45057	125183
397	45153	125022
