iter	Logloss
196	0.4508644636
197	0.4507663502
198	0.4507180021
199	0.4506219734
200	0.4503675524
201	0.4502612795
202	0.4501561422
203	0.4500875191
204	0.4500121085
205	0.4498937914
206	0.4497668978
207	0.4497034601
208	0.4496065612
209	0.4494758961
210	0.4493654689
211	0.4492677446
212	0.4491401451
213	0.4490530663
214	0.4489230987
215	0.4487601436
216	0.4487464717
217	0.4486946789
218	0.4486512416
219	0.4485496171
220	0.4484678533
221	0.4483427087
222	0.4482149965
223	0.4481721857
224	0.448010747
225	0.4479091321
226	0.4478242309
227	0.4477390308
228	0.4476658423
229	0.4476008788
230	0.4474619705
231	0.4473339265
232	0.4472713943
233	0.4471586088
234	0.4470334036
235	0.4469310897
236	0.4467986413
237	0.4466693856
238	0.446548033
239	0.4464850193
240	0.4463708252
241	0.4462418536
242	0.4461269212
243	0.4460520497
244	0.4458723586
245	0.4457345932
246	0.4456470873
247	0.4455599608
248	0.4454961839
249	0.445411487
250	0.4453135635
251	0.4452193027
252	0.4451535863
253	0.4451188451
254	0.445047097
255	0.4449624212
256	0.4448418013
257	0.4447613191
258	0.4446950034
259	0.4446280158
260	0.4445688321
261	0.4444561372
262	0.4443651555
263	0.4442457689
264	0.444152364
265	0.4440792641
266	0.4439628017
267	0.4439597149
268	0.4438884122
269	0.443822339
270	0.4437085396
271	0.4436477692
272	0.4435316448
273	0.4434210166
274	0.4433432029
275	0.4432812197
276	0.443220261
277	0.4431028115
278	0.4430737339
279	0.4430033601
280	0.4429127902
281	0.442843511
282	0.4427306559
283	0.4426592147
284	0.4426103181
285	0.4424514859
286	0.4423707987
287	0.4423426023
288	0.4422495954
289	0.4421757573
290	0.4421361466
291	0.4420450094
292	0.4419676882
293	0.4419249504
294	0.4418482558
295	0.4417471936
296	0.4417168679
297	0.4416454173
298	0.4415286373
299	0.4414484164
300	0.4413073642
301	0.441259321
302	0.4412578309
303	0.4412110233
304	0.4411337271
305	0.4411319449
306	0.4411058171
307	0.4410513622
308	0.4409738449
309	0.4408955343
310	0.440781588
311	0.4407158909
312	0.44060873
313	0.4405398836
314	0.4404226441
315	0.440354257
316	0.4402765715
317	0.4401470907
318	0.440032176
319	0.4399800423
320	0.4399492949
321	0.4398992647
322	0.4398418639
323	0.439758703
324	0.4396619093
325	0.4396331679
326	0.4395492979
327	0.4394903433
328	0.4393872816
329	0.4393170141
330	0.4392575624
331	0.4392093743
332	0.4391024503
333	0.4390699196
334	0.4389189853
335	0.4388734875
336	0.438816512
337	0.4386872149
338	0.4385589463
339	0.4384512876
340	0.4383572522
341	0.4382270152
342	0.4381701426
343	0.4381017258
344	0.4380653266
345	0.4379762823
346	0.4379250114
347	0.4378954092
348	0.4377977167
349	0.4377120839
350	0.4376187825
351	0.4375510786
352	0.4375496722
353	0.4375386808
354	0.4374354649
355	0.4373809473
356	0.4372754395
357	0.4372014715
358	0.4371252642
359	0.4370615479
360	0.436951511
361	0.4368209331
362	0.4367720912
363	0.4367154759
364	0.4366136321
365	0.4365091789
366	0.4364298934
367	0.4363873093
368	0.436303364
369	0.4362422418
370	0.436132732
371	0.4360896546
372	0.4359798759
373	0.4359554414
374	0.4359199065
375	0.4358706368
376	0.4357951525
377	0.4357869153
378	0.435665701
379	0.4355467205
380	0.4354810343
381	0.4353850285
382	0.4353375072
383	0.4352181317
384	0.4351081681
385	0.4350462197
386	0.4349683142
387	0.4349230243
388	0.4348482981
389	0.4347483543
390	0.4346777276
391	0.4345840635
392	0.434469438
393	0.4343626739
394	0.4342714919
395	0.4342257221
396	0.4341300094
397	0.4340711185
